discharge 1300mAh 
00:14:01,1,1,1970|DIS|PWM: 0|Batt: 1.372|Load: 1.074|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.375
00:14:09,1,1,1970|DIS|PWM: 0|Batt: 1.372|Load: 1.069|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.375
00:14:17,1,1,1970|DIS|PWM: 0|Batt: 1.372|Load: 1.064|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.373
00:14:24,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.069|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.372
00:14:32,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.064|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.371
00:14:40,1,1,1970|DIS|PWM: 0|Batt: 1.372|Load: 1.069|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.371
00:14:47,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.064|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.498|Bavg: 1.370
00:14:55,1,1,1970|DIS|PWM: 0|Batt: 1.372|Load: 1.064|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.503|Bavg: 1.370
00:15:03,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.064|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.370
00:15:11,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.369
00:15:18,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.064|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.368
00:15:26,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.368
00:15:34,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.064|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.368
00:15:41,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.064|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.532|Bavg: 1.368
00:15:49,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.064|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.368
00:15:57,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.064|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.532|Bavg: 1.367
00:16:05,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.508|Bavg: 1.367
00:16:12,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.367
00:16:20,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.055|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.503|Bavg: 1.367
00:16:28,1,1,1970|DIS|PWM: 0|Batt: 1.362|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.367
00:16:35,1,1,1970|DIS|PWM: 0|Batt: 1.362|Load: 1.064|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.508|Bavg: 1.366
00:16:43,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.366
00:16:51,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.055|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.366
00:16:59,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.055|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.366
00:17:06,1,1,1970|DIS|PWM: 0|Batt: 1.362|Load: 1.055|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.365
00:17:14,1,1,1970|DIS|PWM: 0|Batt: 1.367|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.365
00:17:22,1,1,1970|DIS|PWM: 0|Batt: 1.357|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.364
00:17:30,1,1,1970|DIS|PWM: 0|Batt: 1.362|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.364
00:17:37,1,1,1970|DIS|PWM: 0|Batt: 1.357|Load: 1.055|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.364
00:17:45,1,1,1970|DIS|PWM: 0|Batt: 1.362|Load: 1.055|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.363
00:17:53,1,1,1970|DIS|PWM: 0|Batt: 1.357|Load: 1.055|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.362
00:18:00,1,1,1970|DIS|PWM: 0|Batt: 1.357|Load: 1.050|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.503|Bavg: 1.360
00:18:08,1,1,1970|DIS|PWM: 0|Batt: 1.357|Load: 1.055|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.360
00:18:16,1,1,1970|DIS|PWM: 0|Batt: 1.372|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.360
00:18:24,1,1,1970|DIS|PWM: 0|Batt: 1.357|Load: 1.050|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.360
00:18:31,1,1,1970|DIS|PWM: 0|Batt: 1.357|Load: 1.050|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.360
00:18:39,1,1,1970|DIS|PWM: 0|Batt: 1.362|Load: 1.055|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.360
00:18:47,1,1,1970|DIS|PWM: 0|Batt: 1.357|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.360
00:18:54,1,1,1970|DIS|PWM: 0|Batt: 1.357|Load: 1.050|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.508|Bavg: 1.360
00:19:02,1,1,1970|DIS|PWM: 0|Batt: 1.357|Load: 1.045|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.498|Bavg: 1.360
00:19:10,1,1,1970|DIS|PWM: 0|Batt: 1.357|Load: 1.050|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.493|Bavg: 1.360
00:19:18,1,1,1970|DIS|PWM: 0|Batt: 1.357|Load: 1.050|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.503|Bavg: 1.358
00:19:25,1,1,1970|DIS|PWM: 0|Batt: 1.353|Load: 1.050|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.498|Bavg: 1.357
00:19:33,1,1,1970|DIS|PWM: 0|Batt: 1.362|Load: 1.045|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.358
00:19:41,1,1,1970|DIS|PWM: 0|Batt: 1.353|Load: 1.050|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.357
00:19:48,1,1,1970|DIS|PWM: 0|Batt: 1.353|Load: 1.055|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.356
00:19:56,1,1,1970|DIS|PWM: 0|Batt: 1.357|Load: 1.055|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.356
00:20:04,1,1,1970|DIS|PWM: 0|Batt: 1.353|Load: 1.050|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.356
00:20:12,1,1,1970|DIS|PWM: 0|Batt: 1.353|Load: 1.055|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.355
00:20:19,1,1,1970|DIS|PWM: 0|Batt: 1.348|Load: 1.045|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.354
