charge 1300mAh 
PWM: 1
PWM: 2
PWM: 3
START
00:13:32,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.841|diff: 0.075|Iset: 2.000|Ichg: 2.075|Idis: 2.334|Bavg: 1.372
00:13:40,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.826|diff: -0.081|Iset: 2.000|Ichg: 1.919|Idis: 2.319|Bavg: 1.371
00:13:48,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.748|diff: -0.018|Iset: 2.000|Ichg: 1.982|Idis: 2.358|Bavg: 1.372
00:13:56,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.743|diff: -0.018|Iset: 2.000|Ichg: 1.982|Idis: 2.354|Bavg: 1.372
00:14:04,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.626|diff: 0.085|Iset: 2.000|Ichg: 2.085|Idis: 2.354|Bavg: 1.373
00:14:12,1,1,1970|CHG|PWM: 26|Batt: 1.372|Load: 1.748|diff: -0.115|Iset: 2.000|Ichg: 1.885|Idis: 2.354|Bavg: 1.373
00:14:20,1,1,1970|CHG|PWM: 25|Batt: 1.372|Load: 1.631|diff: 0.056|Iset: 2.000|Ichg: 2.056|Idis: 2.339|Bavg: 1.373
00:14:28,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.631|diff: 0.100|Iset: 2.000|Ichg: 2.100|Idis: 2.358|Bavg: 1.373
00:14:35,1,1,1970|CHG|PWM: 25|Batt: 1.372|Load: 1.631|diff: 0.017|Iset: 2.000|Ichg: 2.017|Idis: 2.334|Bavg: 1.373
00:14:43,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.631|diff: 0.021|Iset: 2.000|Ichg: 2.021|Idis: 2.339|Bavg: 1.374
00:14:51,1,1,1970|CHG|PWM: 27|Batt: 1.377|Load: 1.748|diff: -0.125|Iset: 2.000|Ichg: 1.875|Idis: 2.354|Bavg: 1.374
00:14:59,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.631|diff: 0.046|Iset: 2.000|Ichg: 2.046|Idis: 2.358|Bavg: 1.375
00:15:07,1,1,1970|CHG|PWM: 26|Batt: 1.382|Load: 1.753|diff: -0.125|Iset: 2.000|Ichg: 1.875|Idis: 2.358|Bavg: 1.376
00:15:15,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.641|diff: 0.119|Iset: 2.000|Ichg: 2.119|Idis: 2.373|Bavg: 1.376
00:15:23,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.631|diff: 0.026|Iset: 2.000|Ichg: 2.026|Idis: 2.358|Bavg: 1.376
00:15:31,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.768|diff: -0.047|Iset: 2.000|Ichg: 1.953|Idis: 2.373|Bavg: 1.376
00:15:39,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.768|diff: -0.022|Iset: 2.000|Ichg: 1.978|Idis: 2.373|Bavg: 1.377
00:15:47,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.768|diff: -0.027|Iset: 2.000|Ichg: 1.973|Idis: 2.373|Bavg: 1.377
00:15:55,1,1,1970|CHG|PWM: 26|Batt: 1.372|Load: 1.826|diff: 0.095|Iset: 2.000|Ichg: 2.095|Idis: 2.393|Bavg: 1.376
00:16:03,1,1,1970|CHG|PWM: 26|Batt: 1.377|Load: 1.855|diff: -0.032|Iset: 2.000|Ichg: 1.968|Idis: 2.329|Bavg: 1.376
00:16:11,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.841|diff: -0.086|Iset: 2.000|Ichg: 1.914|Idis: 2.324|Bavg: 1.376
00:16:19,1,1,1970|CHG|PWM: 26|Batt: 1.377|Load: 1.855|diff: 0.095|Iset: 2.000|Ichg: 2.095|Idis: 2.344|Bavg: 1.376
00:16:27,1,1,1970|CHG|PWM: 26|Batt: 1.377|Load: 1.636|diff: 0.056|Iset: 2.000|Ichg: 2.056|Idis: 2.344|Bavg: 1.376
00:16:35,1,1,1970|CHG|PWM: 25|Batt: 1.372|Load: 1.631|diff: 0.051|Iset: 2.000|Ichg: 2.051|Idis: 2.358|Bavg: 1.376
00:16:43,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.792|diff: 0.017|Iset: 2.000|Ichg: 2.017|Idis: 2.358|Bavg: 1.376
00:16:51,1,1,1970|CHG|PWM: 26|Batt: 1.377|Load: 1.748|diff: 0.002|Iset: 2.000|Ichg: 2.002|Idis: 2.363|Bavg: 1.376
00:16:59,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.797|diff: 0.021|Iset: 2.000|Ichg: 2.021|Idis: 2.363|Bavg: 1.376
00:17:07,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.841|diff: 0.075|Iset: 2.000|Ichg: 2.075|Idis: 2.339|Bavg: 1.376
00:17:15,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.636|diff: 0.134|Iset: 2.000|Ichg: 2.134|Idis: 2.363|Bavg: 1.376
00:17:23,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.748|diff: -0.037|Iset: 2.000|Ichg: 1.963|Idis: 2.354|Bavg: 1.376
00:17:31,1,1,1970|CHG|PWM: 26|Batt: 1.377|Load: 1.802|diff: 0.080|Iset: 2.000|Ichg: 2.080|Idis: 2.373|Bavg: 1.376
00:17:39,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.826|diff: -0.037|Iset: 2.000|Ichg: 1.963|Idis: 2.329|Bavg: 1.377
00:17:47,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.621|diff: 0.041|Iset: 2.000|Ichg: 2.041|Idis: 2.339|Bavg: 1.377
00:17:55,1,1,1970|CHG|PWM: 25|Batt: 1.372|Load: 1.831|diff: 0.080|Iset: 2.000|Ichg: 2.080|Idis: 2.339|Bavg: 1.376
00:18:03,1,1,1970|CHG|PWM: 25|Batt: 1.367|Load: 1.787|diff: 0.036|Iset: 2.000|Ichg: 2.036|Idis: 2.358|Bavg: 1.375
00:18:11,1,1,1970|CHG|PWM: 25|Batt: 1.372|Load: 1.626|diff: 0.031|Iset: 2.000|Ichg: 2.031|Idis: 2.339|Bavg: 1.375
00:18:19,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.626|diff: 0.095|Iset: 2.000|Ichg: 2.095|Idis: 2.358|Bavg: 1.375
00:18:27,1,1,1970|CHG|PWM: 25|Batt: 1.372|Load: 1.792|diff: 0.046|Iset: 2.000|Ichg: 2.046|Idis: 2.358|Bavg: 1.374
00:18:35,1,1,1970|CHG|PWM: 25|Batt: 1.372|Load: 1.626|diff: 0.085|Iset: 2.000|Ichg: 2.085|Idis: 2.358|Bavg: 1.373
00:18:43,1,1,1970|CHG|PWM: 25|Batt: 1.372|Load: 1.621|diff: 0.012|Iset: 2.000|Ichg: 2.012|Idis: 2.354|Bavg: 1.373
00:18:50,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.626|diff: 0.104|Iset: 2.000|Ichg: 2.104|Idis: 2.358|Bavg: 1.373
00:18:58,1,1,1970|CHG|PWM: 25|Batt: 1.377|Load: 1.797|diff: 0.056|Iset: 2.000|Ichg: 2.056|Idis: 2.363|Bavg: 1.373
00:19:06,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.631|diff: 0.104|Iset: 2.000|Ichg: 2.104|Idis: 2.363|Bavg: 1.375
00:19:14,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.616|diff: 0.031|Iset: 2.000|Ichg: 2.031|Idis: 2.334|Bavg: 1.375
00:19:22,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.782|diff: -0.081|Iset: 2.000|Ichg: 1.919|Idis: 2.349|Bavg: 1.375
00:19:30,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.621|diff: 0.041|Iset: 2.000|Ichg: 2.041|Idis: 2.334|Bavg: 1.376
